Category,Name,URL,$ Raised,Investors,Founded,HQ,Focus
Data,Parallel Domain,http://paralleldomain.com,"$43,650,000","Bessemer Venture Partners, Costanoa Ventures, RRE Ventures, Ubiquity Ventures, Toyota Ventures, Calibrate Ventures, Foundry Group, March Capital Partners",2017,"Palo Alto, CA",Synthetic data
MLOps/Platform,Robust Intelligence,https://www.robustintelligence.com/,"$44,000,000","Sequoia Capital, Tiger Global Management, Engineering Capital, Ram Shriram, Harpoon, and 1 others",2019,"San Francisco, CA",Model dev
Text,You,https://you.com/,"$45,000,000","Ayori Selassie, Breyer Capital, Cap Table Coalition, Day One Ventures, Fusion Fund, James Breyer, Marc Benioff, Norwest Venture Partners, Radical Ventures, rocketship.vc, Sound Ventures, Time Ventures",2020,"Palo Alto, CA",AI Writer / Knowledge Search
Data,Tonic,https://www.tonic.ai/,"$45,000,000","Insight Partners, GGV Capital, Heavybit, Bloomberg Beta, Xfund, and 5 others",2018,"San Francisco, CA",Synthetic Data
Video,Riverside,https://riverside.fm/,"$47,000,000","Oren Zeev, Seven Seven Six, Elad Gil, Zeev Ventures, Casey Neistat, and 5 others",2019,"Tel Aviv, Israel",Podcast recording / editing
Avatars,D-ID,https://www.d-id.com/,"$48,000,000","Y Combinator, Foundation Capital, Maverick Ventures Israel, Pegasus Tech Ventures, Pitango Venture Capital, AI Alliance, AXA Venture Partners, Hyundai Motor Company, Mindset Ventures, Omron Ventures, REDDS Capital, Macquarie Capital, Marubeni Corporation, Maverick Capital, NTT Finance, OIF Ventures, OurCrowd",2017,"Tel Aviv, Israel",Customized videos featuring talking avatars
Chatbot/Conversational AI,Balto,https://www.balto.ai/,"$52,000,000","Stage Venture Partners, Sierra Ventures, Stripes, Arch Grants, OCA Ventures, and 10 others",2017,"St Louis, United States",Automated Virtual Agents
Video,InVideo,https://invideo.io/,"$53,000,000","Surge, Sequoia Capital India, Tiger Global Management, Lightspeed Venture Partners, Hummingbird Ventures, and 7 others",2017,"Singapore, Singapore","Text to Video, Video creation/editing"
Avatars,DeepBrain AI,http://deepbrainai.io,"$55,760,000","L&S VENTURE CAPITAL, Donghoon Investment, K-Startup Grand Challenge, Korea Credit Guarantee Fund, CH & Partners, IDG Capital, KB Investment, POSCO Capital, IMM Investment, KDB Capital, Korea Development Bank, NVESTOR, Noh & Partners, Visa FinTech Fast-Track Program, Shinhan Future's Lab",2016,South Korea,Virtual Humans and Avatars
MLOps/Platform,Lightning.ai,https://lightning.ai/,"$59,000,000","Coatue, Index Ventures, Bain Capital Ventures, MANTIS Venture Capital, Firstminute Capital, and 1 others",2019,"New York, NY",Model development
Video,Magnifi,https://magnifi.ai/,"$60,880,000","Inflection Point Ventures, LLP, 9Unicorns Accelerator Fund, Chinaccelerator, Venture Catalysts Pvt., Ltd. (VCAT), SOSV Investments, LLC, Cathexis Ventures, Anthill Capital Pte., Ltd. dba Anthill Ventures, InnoVen Capital India Pvt., Ltd., Ventureast Fund Advisors India, Ltd., Baring Private Equity Partners India, Ltd., Huashan Capital, Moneta Ventures, LLC, Saikiran Krishnamurthy, Binny Bansal, Vinay Bansal, Mitesh Shah, Ankur Mittal, Mumbai Angels Network, Hyderabad Angels (HA), The Chennai Angels (TCA)",2017,"Mumbai, India",Video editing / insights
Audio,AssemblyAI,https://www.assemblyai.com/,"$63,000,000","Accel, Insight Partners, Daniel Gross, Nat Friedman",2017,San Francisco,Speech to Text
Summarization,Otter,https://otter.ai/,"$63,000,000","Horizons Ventures, Draper Associates, Spectrum",2016,"Mountain View, CA",Meeting note summarization
MLOps/Platform,Adept,https://www.adept.ai/,"$65,000,000","10X Capital, Addition, Air Street Capital, Andrej Karpathy, Chris Re, Greylock Partners, Howie Liu, Root Ventures, Sarah Meyohas, Scott Belsky",2017,"San Francisco, CA",General intelligence
Avatars,Synthesia,https://www.synthesia.io/,"$65,500,000","Christian Bach, FirstMark Capital, GV, Innovate UK, Kleiner Perkins, LDV Capital, Mark Cuban, Martin Varsavsky, Michael Buckley, MMC Ventures, Nigel Morris, Philipp Moehring, Radical Investments, Seedcamp, Taavet Hinrikus, Tiny.VC, VAS Ventures",2017,"London, UK",AI avatar video creation
Text,Persado,https://www.persado.com/,"$66,000,000","Goldman Sachs, Bain Capital Ventures, StarVest Partners, Citi Ventures, American Express, and 4 others",2012,"New York, NY",Language generation
MLOps/Platform,Creative Fabrica,https://www.creativefabrica.com/spark/,"$68,000,000","Alven, Felix Capital, Peak Capital, Triple Point, LionTree, FJLabs",2016,Amsterdam,Art and writing generation
Chatbot/Conversational AI,PolyAI,https://poly.ai/,"$68,000,000","Passion Capital Investments, LLP, Amadeus Capital Partners, Ltd., Entrepreneur First Operations, Ltd., Sands Capital Management, LLC, Point72 Ventures, LLC, Khosla Ventures, LLC, Air Street Capital, LLP, Steve Crossan, Twilio, Inc., Georgian Partners, Inc., Chris Mairs, Nathan Benaich",2017,"London, UK",Voice Assistants
Data,Gretel,https://gretel.ai/,"$68,000,000","Greylock, Moonshots Capital, Anthos Capital, Village Global, Village Capital, and 1 others",2019,"San Diego, CA",Synthetic data generation
Legal,Casetext,http://casetext.com,"$69,320,000","A-Grade, Ben Davenport, Charlie Cheever, Crosslink Capital, Paul Buchheit, Red Sea Ventures, Rob Emrich, SV Angel, Susa Ventures, Tom Glocer, WeFunder, Y Combinator, BoxGroup, Formation 8, Union Square Ventures, 8VC, Canvas Ventures, Paycheck Protection Program",2013,"San Francisco, CA",Legal case generation
MLOps/Platform,Comet ML,https://www.comet.com/site/,"$70,000,000","Trilogy Equity Partners, Amazon Alexa Fund, Scale Venture Partners, OpenView, Two Sigma Ventures, and 6 others",2017,"New York, NY",Model deployment / modeling / collaboration
Text,Mutiny,http://www.mutinyhq.com/,"$71,620,000","Aileen Lee, Andrew McLoughlin, Blue Trail Partners, Cowboy Ventures, Earl Grey Capital, Emily Kramer, GTMFund, Hack VC, Insight Partners, John Adractas, Liquid 2 Ventures, Michael Stoppelman, Paul Buchheit, Sequoia Capital, Tiger Global Management, Uncork Capital, Y Combinator",2018,"San Francisco, CA",Marketing / Personalized websites
Data,DataGen Technologies,https://datagen.tech/,"$72,000,000","ICON, Anthony Goldbloom, Spider Capital Partners, TLV Partners, Viola Ventures, Gal Chechik, Michael J. Black, Scale Venture Partners, Trevor Darrell",2017,Israel,Synthetic data generation
Code,Warp,https://www.warp.dev/,"$73,000,000","Dylan Field, Elad Gil, Jeff Weiner, Marc Benioff, BoxGroup, Google Ventures, Neo Fund",2020,"New York, NY",code generation (terminal)
Chatbot/Conversational AI,Kasisto,https://kasisto.com/,"$81,000,000","NCR, FIS, Oak HC/FT, Propel VC, Westpac, and 16 others",2013,"New York, NY",Customer support
Avatars,Inworld,https://www.inworld.ai/,"$83,320,000","Accelerator Investments, BITKRAFT Ventures, CRV, Disney Accelerator, First Spark Ventures, Founders Fund, Intel Capital, Kevin Lin, Kleiner Perkins, LG Technology Ventures, M12, Marc Merrill, Meta Platforms, Micron Ventures, NaHCO3, Nathaniel Mitchell, NTT Docomo Ventures, Sebastien Borget, Section 32, SK Telecom, The Venture Reality Fund, Yat Siu",2021,"Mountain View, CA",NPC's for games
Audio,Deepgram,https://deepgram.com/,"$87,720,000","Y Combinator, Tiger Global Management, In-Q-Tel, Wing Venture Capital, Compound, and 11 others",2015,San Francisco,Speech to Text
Chatbot/Conversational AI,Forethought,https://forethought.ai/,"$92,000,000","New Enterprise Associates, K9 Ventures, Steadfast Financial, Village Global, 8VC, and 36 others",2017,"San Francisco, CA",Customer Support
Video,Runway,https://runwayml.com/,"$95,500,000","Amplify Partners, Compound, Lux Capital, Caryn Marooney, David Cahn, Coatue, Felicis, Madrona Venture Group",2018,"Brooklyn, NY",Image/Video creation/editing
Text,Eluether GPT-NEO,https://www.eleuther.ai/,"$100,000,000",,,,Text Generation
Audio,Descript,https://www.descript.com/,"$100,000,000","Alex Blumberg, Andreessen Horowitz, ASDF Ventures, Bharat Mediratta, Brian Pokorny, Casey Neistat, Devdatta Akhawe, Evan Williams, HubSpot Ventures, Jack Patreon, Jake Shapiro, Jay Simons, Jean-Denis Greze, John Lilly, Justine Ezarik, Lenny Rachitsky, Naval Ravikant, OpenAI, Raghavendra Prabhu, Rahul Vohra, Redpoint Ventures, Shishir Mehrotra, Spark Capital, Tobias Lutke, Todd Goldberg",2017,"San Francisco, CA",Voice generation
Image,Stable Diffusion,https://stablediffusionweb.com/,"$100,000,000",,,,Image Generation
Image,Stability,https://stability.ai/,"$100,000,000","Lightspeed Venture Partners, Coatue, O'Shaughnessy Asset Management, Seed Club Ventures",2019,"London, UK",Open AI Tools / Image Generation
Data,MDClone,https://www.mdclone.com/,"$104,000,000","OrbiMed, Warburg Pincus, Lightspeed Venture Partners, Viola Growth, aMoon Fund",2016,"Be'er Sheva, Israel",Healthcare / science synthetic data
Code,Replit,https://replit.com/,"$104,620,000","A Capital Inn, A.Capital Ventures, A16z Cultural Leadership Fund, Adam D'Angelo, Addition, Amino Capital, Andreessen Horowitz, Andrew Sutherland, Ankur Nagpal, Anthony Pompliano, Austen Allred, Benjamin Darnell, Bloomberg Beta, Coatue Management, Dave Lee, Domagoj Babic, Fadi Ghandour, Fahd Ananta, Fifth Down Capital, Gagan Biyani, Greg Brockman, Henrique Debugras, Mattia Astori, Mission and Market, Not Boring Capital, Olivier Pomel, Paul Graham, Peter Thiel, Reach Capital, Roach Capital, Scott Schleifer, Shaan Puri, Shaikh Khalid Bin Mansour Bin Ahmed Bin Ali Althani, Soleio Cuervo, South Park Commons, Vinay Hiremath, Vlad Tenev, Volt Capital, Y Combinator, Zachary Sims",2016,"San Francisco, CA",Web Development
MLOps/Platform,InstaDeep,http://instadeep.com,"$113,650,000","Plug and Play Accelerator, AfricInvest, Endeavor, Alpha Intelligence Capital, BioNTech, CDIB Capital International, Chimera Investments, DB Digital Ventures, G42, Google, Synergie",2014,United Kingdom,industry-specific generative applications
MLOps/Platform,AI21 Labs,https://www.ai21.com/,"$119,000,000","Pitango Venture Capital, Ahren Innovation Capital, Walden Catalyst, TPY Capital, Mark Leslie, and 1 others",2017,"Tel Aviv, Israel","NLP models, Wordtune write / summarization"
Image,Soul Machines,soulmachines.com,"$119,500,000","Horizons Ventures, ICONIQ Capital, Daimler Financial Services, University of Auckland Inventors Fund, Lakestar, Salesforce Ventures, Temasek, Cleveland Avenue, Liberty City Ventures, SoftBank Group, Solasta Ventures",2016,"San Francisco, CA",visual media generation
Chatbot/Conversational AI,Woebot Health,https://woebothealth.com/,"$123,300,000","Social Discovery Ventures, Ltd., AI Fund, L.P., Temasek Holdings Pte., Ltd., BlackRock, Inc., New Enterprise Associates, LLC (NEA), Alumni Ventures Group, LLC (AVG), Gaingels, LLC, Owl Ventures, L.P., Mirae Asset Capital Markets (India) Pvt., Ltd., Jazz Venture Partners, LLC, Kicker Ventures, LLC, Leaps by Bayer, For Good Ventures, Calm Ventures, What If Ventures, LP",2017,"San Francisco, CA",Mental Health / chatbot
MLOps/Platform,OctoML,https://octoml.ai/,"$132,000,000","Tiger Global Management, Amplify Partners, Madrona, Addition",2019,"Seattle, WA",Model development
Text,Jasper.ai,https://www.jasper.ai/,"$146,690,000","Bessemer Venture Partners, Coatue Management, Foundation Capital, Founders Circle Capital, G Ventures (VC), Hack VC, HubSpot Ventures, Insight Partners, IVP, Liquid 2 Ventures, Y Combinator, Z Nation Lab",2021,"Austin, United States",Content/Marketing
Semantic Search,Glean,https://www.glean.com/,"$156,000,000","General Catalyst, Kleiner Perkins, Lightspeed Venture Partners, Sequoia Capital, Slack Fund",2019,"Palo Alto, CA",Knowledge
Chatbot/Conversational AI,Cresta,https://cresta.com/,"$157,100,000","345 Partners, Allen & Company, Andreas Von Bechtolsheim, Andreessen Horowitz, Aviv Nevo, CarMax, Five9, Genesys, Greylock Partners, JPMorgan Chase, Mark Leslie, Porsche Ventures, Sequoia Capital, Tech Square Ventures, Tiger Global Management, Zoom Video Communications",2017,"San Francisco, CA",Contact Center / Customer support
MLOps/Platform,Hugging Face,https://huggingface.co/,"$160,000,000","Betaworks, Lux Capital, Addition, Ronny Conway, Sequoia Capital, and 20 others",2016,"New York, NY",ML Models
MLOps/Platform,Cohere.ai,https://cohere.ai/,"$165,000,000","Tiger Global Management, Index Ventures, Section 32, Radical Ventures, Fei-Fei Li, and 3 others",2019,"Toronto, Canada",NLP Platform
Summarization,PrimerAI,https://primer.ai/,"$168,000,000","DCVC, Lux Capital, Addition, Avalon Ventures, Amplify Partners, and 12 others",2015,"San Francisco, CA",Summarization
Chatbot/Conversational AI,Ada,https://www.ada.cx/,"$191,000,000","Accel, Bessemer Venture Partners, FirstMark, Spark Capital, RFI, and 12 others",2016,"Toronto, Canada",Automated Virtual Agents
MLOps/Platform,Weights & Biases,https://wandb.ai/site,"$200,000,000","Coatue, Insight Partners, NVIDIA, Trinity Ventures, Bond, and 9 others",2017,"San Francisco, CA",Model development
Chatbot/Conversational AI,Observe.ai,https://www.observe.ai/,"$214,000,000","Nexus Venture Partners, Y Combinator, Menlo Ventures, SoftBank Vision Fund, Emergent Ventures, and 13 others",2017,"San Francisco, CA",Contact Center
MLOps/Platform,Inflection AI,inflection.ai,"$225,000,000",Greylock Partners,2022,"Palo Alto, CA",cross-industry generative interfaces
Audio,DupDub,https://www.dupdub.com/,"$251,620,000","Volkswagen Group China, Alphabet, Susquehanna Asia Investments, Sequoia Capital China, ZhenFund",2012,"Beijing, China",Voiceovers
MLOps/Platform,Anyscale,https://www.anyscale.com/,"$259,000,000","Andreessen Horowitz, Addition, New Enterprise Associates, Intel Capital, Ant Group, and 6 others",2019,"San Francisco, CA",Platform / application scaling
Chatbot/Conversational AI,Moveworks,https://moveworks.com,"$305,000,000","Tiger Global, Bain Capital, Kleiner Perkins, Sapphire Ventures, Lightspeed, Alkeon Capital",2016,"Mountain View, CA",AI-based employee support
Image,Lightricks,https://www.lightricks.com/,"$335,000,000","Viola Ventures, ClalTech, Insight Partners, Goldman Sachs, Altshuler Shaham, Clal Venture Capital, Goldman Sachs Asset Management, Greycroft, Hanaco Venture Capital, Harel Insurance Investments & Financial Services, Migdal Insurance, Shavit Capital Fund, Charli D'Amelio, Dixie D'Amelio, Heidi D'Amelio, Marc D'Amelio",2013,Israel,AI Image generation
Code,GitHub Copilot,https://github.com/features/copilot,"$350,500,000","EB Exchange Funds, 3Spoke Capital, Frazier Group, IVP, Markmel Company, Olam Capital, Samsung NEXT Ventures, Section Partners, Sequoia Capital, Spring Camp, Thrive Capital, TrueBridge Capital Partners, Andreessen Horowitz, SV Angel",2008,"San Francisco, CA",Code Generation
Chatbot/Conversational AI,ASAPP,https://www.asapp.com/,"$380,000,000","Fidelity Management and Research Company, Dragoneer Investment Group, HOF Capital, Emergence, Telstra Ventures, and 11 others",2014,"New York, NY",Contact Center
Text,Grammarly,https://www.grammarly.com/,"$400,000,000","General Catalyst, BlackRock, Baillie Gifford, IVP, Sozo Ventures, and 3 others",2009,"San Francisco, CA",Writing/Editing
Bio,Insilico,https://insilico.com/,"$402,000,000","Deep Knowledge Ventures, A-Level Capital, Jim Mellon, GSK, BOLD Capital Partners, Juvenescence, Pavilion Capital, WuXi Healthcare Ventures, Baidu Ventures, Eight Roads Ventures, F-Prime Capital, Lilly Asia Ventures, Qiming Venture Partners, Sinovation Ventures, B Capital Group, CPE, Deerfield Management, Formic Ventures, Lake Bleu Capital, Maison Capital, Mirae Asset Capital, OrbiMed Advisors, President International Development, Sage Partners, Sequoia Capital China, Warburg Pincus, Bohai Huamei, Prosperity7 Ventures, Wilson Sonsini Goodrich & Rosati, Bill & Melinda Gates Foundation",2014,Hong Kong,Protein & drug design
Audio,Dialpad,https://www.dialpad.com/,"$450,000,000","Andreessen Horowitz, GV, SoftBank, ICONIQ Capital, Amasia, and 11 others",2011,"San Francisco, CA",Team/Customer Communications
MLOps/Platform,Scale AI,https://scale.com/,"$602,860,000","Y Combinator, Accel, Index Partners, Founders Fund, Tiger Global, Coatue, Greenoaks, Wellington Management, Durable Capital Partners, Dragoneer Investment Group, Thrive Capital, Spark Capital, Next Play Ventures",2016,"San Francisco, CA",Data-Centric ML Lifecycle
Text,Anthropic,https://www.anthropic.com/,"$704,000,000","Metaplanet Holdings, Caroline Ellison, Nishad Singh, Samuel Bankman-Fried, Center for Emerging Risk Research, Dustin Moskovitz, Eric Schmidt, Jaan Tallinn, James McClave",2021,"San Francisco, CA",Text Generation
MLOps/Platform,OpenAI,https://openai.com/,"$1,010,120,000","Microsoft, Change.org, Khosla Ventures, Amazon Web Services, Infosys, Peter Thiel, Reid Hoffman, Y Combinator",2015,"San Francisco, CA",AI Research and deployment
Category,Name,URL,$ Raised,Investors,Founded,HQ,Focus
Text,Whizle,https://whizle.com,,,2021,"London, UK",Generates quizzes from videos
Image,Stockimg.ai,https://stockimg.ai/,,,,,Stock image generation
Image,PicUP.Ai,https://www.cutout.pro/,,,2019,Hong Kong,Automated image editing
Text,Kadoa,https://www.kadoa.co/,,,2023,"Zurich, Switzerland",Data Extraction with generative AI
Video,Zubtitle,https://zubtitle.com/,,,2018,"Charleston, SC",Subtitles
Avatars,XOLTAR,https://xoltar.com/,,,2020,Israel,AI accountability partners
Text,Wokelo.ai,https://www.wokelo.ai/,,,2022,"Seattle, Washington",Market Research Reports
Image,Vizcom,https://www.vizcom.ai/,,,2021,"Mountain View, United States",Drawings
Text,Topic,https://www.usetopic.com/,,"CMI Marketing, CafeMedia",2019,"San Francisco, CA",Content creation (SEO)
Code,Blackbox,https://www.useblackbox.io/,,,2019,"San Francisco, CA",Code Completion / Search
Video,UnScreen,https://www.unscreen.com/,,Canva,2017,"Wien, Austria",Video creation/editing
Text,Trinka,https://www.trinka.ai/,,,2020,"Mumbai, India",Writing/Editing
Image,The Culture DAO,https://www.theculturedao.com/,,,2021,,Media/Advertising
Text,Textmetrics,https://www.textmetrics.com/,,"OostNL, Filsa Capital",2015,"Arnhem, The Netherlands",Writing/Editing
Image,Tailorbird,https://www.tailorbird.us/,,"Bloomberg Beta, FJ Labs, NFX, Moderne Ventures",2020,"Princeton, New Jersey",Architecture planning
Image,Strmr,https://www.strmr.com/,,,,,Image Generation
Text,Storywizard.ai,https://www.storywizard.ai/,,,2022,"Tel Aviv, IL",Children's story generation
Image,Starryai,https://www.starryai.com/,,,2021,"New York City, United States",Art generation
Audio,Sonify,https://www.sonify.io/,,,2019,NYC,Data to music
Chatbot/Conversational AI,Social Keyboard,https://www.socialkeyboardapp.com/,,,2022,"Palo Alto, CA",Translate and rewrite messages
Text,Smartwriter.ai,https://www.smartwriter.ai/,,,2021,"Sydney, Australia",Personalized Emails (Sales)
Text,ShortlyAI,https://www.shortlyai.com/,,"Conversion AI, Jasper",2020,"London, UK",Writing (automated)
Text,Shakespeare,https://www.shakespeare.ai/,,,2022,"London, UK",Copywriting
Chatbot/Conversational AI,Samespace,https://www.samespace.com/,,,2015,"Palo Alto, CA",Contact Center
Image,Removebg,https://www.remove.bg/,,Canva,2018,"Vienna, Austria",Background removal
Audio,ReadSpeaker,https://www.readspeaker.ai/,,,1999,Boston,Text to Speech
Image,Profile Picture,https://www.profilepicture.ai/,,,,,Image Generation
Image,Ponzu,https://www.ponzu.gg/,,South Park Commons,2022,SF,Marketing
Summarization,Plnia,https://www.plnia.com/,,,2018,,NLP AI
Image,Phaito,https://www.phaito.com/,,,,,photo auto-editing
Text,Peppertype.ai,https://www.peppertype.ai/,,,2020,India,Marketing / content generation
Summarization,Penelope,https://www.penelope.ai/,,"FFWD London, Oxford University Innovation, Oxygen Accelerator, Innovate UK",2021,"London, UK",Summarization (academic)
Audio,Panjaya,https://www.panjaya.ai/,,,2021,"Tel Aviv, Israel",AI dubbing
Text,Outwrite,https://www.outwrite.com/,,,2015,"Sydney, Australia",Writing/Editing
Text,Outranking,https://www.outranking.io/,,,2016,"Middletown, United States",Content creation (SEO)
Text,Nyle,https://www.nyle.ai/,,,2019,"Brooklyn, NY",E-Commerce Growth
Text,NLP Labs,https://www.nlp-labs.com/,,,,,Text Generation
Text,NeuralText,https://www.neuraltext.com/,,Aurelia Ventures,2021,"Dover, United States",Content automation
Classification,Napkin,https://www.napkin.one/,,,2021,"Zurich, Switzerland",Text classification / organization
Audio,Musico,https://www.musi-co.com/,,,2019,"Eindhoven, Netherlands",Song generation
Data,MirryAI,https://www.mirry.ai/main,,,2021,"Atlanta, United States",Synthetic Data
Image,Mirage,https://www.mirageml.com/,,,2022,"San Francisco, CA",3D Generation
Image,Midjourney,https://www.midjourney.com/,,,2007,"San Francisco, CA",Research Lab
Text,Mark,https://www.markcopy.ai/,,,2021,"Paris, France",Content creation
Text,Reach,https://www.magicreach.ai/,,,2021,"Milan, Italy",Personalized Emails (Sales)
Image,Mage.space,https://www.mage.space/,,,2019,"New York, NY",Art generation
Text,LongShot AI,https://www.longshot.ai/,,,2021,"Mumbai, India",Blogs
Game,LitRPG,https://www.litrpgadventures.com/,,,,,RPG Generation
Text,Lavender,https://www.lavender.ai/,,"Aneil Johal, Asymmetric Capital Partners, Christopher Wheeler, Ganesh Ramakrishnan, Troy Osinoff",2020,"New York, NY",Sales email generation
Audio,LALAL,https://www.lalal.ai/,,,2020,"Zug, Switzerland",Audio quality
Image,Kartiv,https://www.kartiv.com/,,,,,AI generated ad creatives
Text,Growth Marketing Pro,https://www.growthmarketingpro.com/,,,2017,"San Francisco, CA",Growth Marketing / SEO Content generation
MLOps/Platform,Gooey.ai,https://www.gooey.ai/,,"Blume Ventures, Techstars",2022,Seattle,Image Generation
Text,Moonbeam,https://www.gomoonbeam.com/,,,2022,"Sheridan, United States",Writing (automated)
Text,Glimpse.ai,https://www.glimpse.ai/,,,2020,"Baltimore, United States",Natural Langauge Generation
Summarization,Hume,https://www.gethume.com/,,,2021,"Gothenburg, Sweden",Interview analysis
Image,Alpaca,https://www.getalpaca.io/,,,2022,"Montreal, Canada",Photo enhancement
Video,GenieLabs,https://www.genielabs.tech/,,,2022,"TelAviv, Israel",3D Models/Scenes
Text,Fluento,https://www.fluento.ai/,,,,"London, England",Learning Languages
Audio,Flowful,https://www.flowful.app/,,,2021,"London, UK",Ambient Music generation
Chatbot/Conversational AI,Flewently,https://www.flewently.com,,,2022,"London, UK",Language learning
Video,Flawless,https://www.flawlessai.com/,,"JAMCO Capital partners, Inc.",2020,"London, UK",Lip Synced Visualizations
Audio,Fabius,https://www.fabius.io/,,,2020,"San Francisco, CA",Data Analysis
Game,Electric noir studios,https://www.electricnoirstudios.com/,,,2017,"London, UK",Interactive drama mobile games
Text,DigitalFirst,https://www.digitalfirst.ai/,,,2021,Poland,Marketing / content generation
Data,Deep Design Systems,https://www.deepdesignsystems.com/,,,2020,"A Coruña, Spain",Synthetic Industrial Design
Image,Craiyon,https://www.craiyon.com/,,,2022,"Houston, TX",Art generation
Text,Craftly.ai,https://www.craftly.ai/,,,2021,"Toronto, Canada",Copywriting
Text,Copy Shark,https://www.copyshark.ai/,,,2021,"Richmond Hill, Canada",Content/Copy creation
Text,Conto,https://www.conto.ai/,,,2021,"Barcelona, Spain",Content/Copy creation
Text,Closers Copy,https://www.closerscopy.com/,,,2020,"Osterode am Harz, Germany",Content/Copy creation
Data,Sloped.xyz,https://www.sloped.xyz/,,,2022,"Boston, Massachusetts",Data visualization from NLP
Chatbot/Conversational AI,Crone AI,https://www.crone.ai,,,2022,"Menlo Park, CA",AI Business Mentor
Text,Clickable,https://www.clickable.so/,,"Evening Fund, Musha Ventures, Y Combinator, Zentani Capital",2022,"Goteborg, Sweden",Ad Creation
Text,BuildAI,https://www.buildai.space/,,,,,Build AI interfaces
Text,Broadn,https://www.broadn.io/,,,2022,"London, UK",Generative learning
Image,Blend,https://www.blendnow.com/,,"3one4 Capital, Blume Ventures, Graycell Ventures, PointOne Capital, Superb Capital, Surge (Accelerator)",2021,"Bengaluru, India",Photo to Ad
Text,Beewriter,https://www.beewriter.com/,,,2020,"Seattle, Washington",Writing/Editing
Text,B/BLOQS,https://www.bbloqs.ai,,,2021,"Asheville, NC",AI marketing platform
Video,Basch,https://www.basch.io/,,,2021,"Karnataka, India",Text to Video
Image,AutoEnhance.ai,https://www.autoenhance.ai/,,,2021,"London, UK",Photo enhancement
Chatbot/Conversational AI,Astrid,https://www.astrideducation.com/,,,2020,"Stockholm, Sweden",Personalized English tutoring
Text,Article Forge,https://www.articleforge.com/,,,2015,"Baltimore, United States",Content creation
Image,ArtBreeder,https://www.artbreeder.com/,,,2019,"New York, NY",Art generation
Image,Aragon,https://www.aragon.ai/,,,2022,CA,Design
Code,AI2sql,https://www.ai2sql.io/,,,2021,"Istanbul, Turkey",Data queries / SQL
Image,AdCreative,https://www.adcreative.ai/,,,2021,"Paris, France",Ad generation / recommendations
Text,Writerly,https://writerly.ai/,,,2022,"London, UK",Content creation (SEO)
Text,Vizologi,https://vizologi.com/,,Pedro Trillo García,2019,Spain,AI generated answers
Video,Salt,https://twitter.com/SALT_VERSE?s=20&t=OwmtcrzVtB6nz-vL-v11KA,,,,,Film generation
Summarization,Tome,https://tome.com/,,"Better Tomorrow Ventures, Page One Ventures, Quiet Capital",2021,"San Francisco, CA",Content summarization
Summarization,TLDR This,https://tldrthis.com/,,,2019,"New Delhi, India",Summarization
Text,Thundercontent,https://thundercontent.com/,,,2021,"New York City, United States",Marketing content creation
Video,Synthesys,https://synthesys.io/,,,2020,"London, UK",Text to Video
Text,Surfer,https://surferseo.com/,,,2017,"Wroclaw, Poland",Marketing content generation
Text,Subtxt,https://subtxt.app/,,,,"Los Angeles, United States",Writing (stories)
Code,Stenography,https://stenography.dev/,,,2021,"New York City, United States",Code Documentation
Video,Shuffll,https://shuffll.com/,,,2022,"Tel Aviv, Israel",Multi-user video dev tool
Image,ShowHue,https://showhue.com/,,,2018,Taiwan,E-commerce product photos
Text,Seo.ai,https://seo.ai/,,,,"Kongens Lyngby, Denmark",Content creation (SEO)
Text,Rytr,https://rytr.me/,,"500 Global, Purvi Capital LLC, Rajan Anandan",2021,"Walnut, United States",Content creation
Text,Quantamix Solutions,https://quantamixsolutions.com/,,,2019,"Uithoorn, The Netherlands",Content automation
Text,Qopywriter.ai,https://qopywriter.ai/,,,2021,"Tallin, Estonia",Copywriting
Code,Pygma,https://pygma.app/,,,2022,,Code Quality
Text,ProWritingAid,https://prowritingaid.com/,,,2013,"Oxford, United Kingdom",Writing/Editing
Audio,podcast.ai,https://podcast.ai/,,,,,Voice Synthesis / Generation
Image,Playground,https://playgroundai.com/,,,2022,,Image Generation
Audio,Play,https://play.ht/,,,2016,"Dubai, UAE",Text to Speech
Text,ParagraphAI,https://paragraphai.com/,,,2022,,Writing/Editing
Image,Osmosis,https://osmosis.studio/,,,2022,"San Francisco, CA",Ad generation
Video,Opus,https://opus.ai/,,,2019,"Austin, TX",Text to Video
Image,Nyx.gallery,https://nyx.gallery/,,,2022,"Vaud, Switzerland",Art generation
Game,Here Be Taverns,https://www.herebetaverns.com/,,,,,Gaming world generation
Image,Nvidia Get 3D,https://nv-tlabs.github.io/GET3D/,,,,,3D images
Text,NovelAI,https://novelai.net/,,,2021,"Wilmington, United States",Writing (stories)
Audio,NoteVibes,https://notevibes.com/,,,2020,,Voice Generation
MLOps/Platform,NLP Cloud,https://nlpcloud.com/,,,2021,"Villard-de-Lans, France",Model development
Text,Nichesss,https://nichesss.com/,,,2020,"Rio de Janeiro, Brazil",Text generation (AI writer)
Image,Neural.love,https://neural.love/,,,2020,"Pudisoo, Estonia",Photo enhancement
Text,Minerva Solutions,https://minervasolutions.io/,,,2019,"New York, NY",Advertising for real estate
Chatbot/Conversational AI,MetaDialog,https://metadialog.com/,,,2020,"Newton, United States",Automated Virtual Agents
Text,Magic Copy,https://magic-copy.com/,,,,,Marketing content creation
